COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
AYACUCHO,ARQUITECTURA,FEMENINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,1,18
LIMA,ARQUITECTURA,FEMENINO,SI,3,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,4,20
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,3,20
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,20
CALLAO,INGENIERÍA INDUSTRIAL,FEMENINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,19
ÁNCASH,INGENIERÍA NAVAL,MASCULINO,NO,4,21
CALLAO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
CALLAO,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,FEMENINO,SI,4,20
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,4,19
MADRE DE DIOS,INGENIERÍA CIVIL,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,17
SAN MARTÍN,INGENIERÍA CIVIL,MASCULINO,NO,0,17
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,18
LIMA,CIENCIA DE LA COMPUTACIÓN,MASCULINO,NO,1,17
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
LIMA,ARQUITECTURA,MASCULINO,NO,3,18
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,18
LIMA,INGENIERÍA QUÍMICA,FEMENINO,NO,3,19
CALLAO,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,18
